t KE PE KE+PE T
0.000000 8.421801 -15.598387 -7.176586 268.714643
0.100000 4.995776 -12.115464 -7.119688 159.400351
0.200000 4.570656 -11.688814 -7.118158 145.836058
0.300000 4.989409 -12.098809 -7.109400 159.197215
0.400000 4.824411 -11.924861 -7.100450 153.932605
0.500000 4.821767 -11.909649 -7.087883 153.848234
0.600000 4.495637 -11.570123 -7.074486 143.442411
0.700000 4.188115 -11.249209 -7.061093 133.630303
0.800000 3.979048 -11.026374 -7.047327 126.959577
0.900000 3.751396 -10.783625 -7.032229 119.695895
1.000000 3.343133 -10.366225 -7.023092 106.669427
1.100000 3.177357 -10.191863 -7.014505 101.380025
1.200000 2.953461 -9.959716 -7.006255 94.236150
1.300000 2.744183 -9.742628 -6.998445 87.558716
1.400000 2.569868 -9.562260 -6.992392 81.996840
1.500000 2.345945 -9.333047 -6.987102 74.852132
1.600000 2.250469 -9.234425 -6.983955 71.805790
1.700000 2.129548 -9.110789 -6.981241 67.947545
1.800000 1.979410 -8.957630 -6.978221 63.157083
1.900000 1.933999 -8.910935 -6.976935 61.708159
2.000000 1.941282 -8.917383 -6.976101 61.940530
2.100000 1.937658 -8.912913 -6.975255 61.824902
2.200000 2.004203 -8.979800 -6.975598 63.948146
2.300000 2.032168 -9.009861 -6.977693 64.840440
2.400000 2.123576 -9.103268 -6.979692 67.756994
2.500000 2.163045 -9.144843 -6.981798 69.016335
2.600000 2.236155 -9.221284 -6.985129 71.349056
2.700000 2.373576 -9.362909 -6.989333 75.733739
2.800000 2.498961 -9.492938 -6.993977 79.734405
2.900000 2.438585 -9.437780 -6.999196 77.807982
3.000000 2.692505 -9.697280 -7.004775 85.909822
3.100000 2.745939 -9.754792 -7.008853 87.614749
3.200000 2.867451 -9.882757 -7.015306 91.491842
3.300000 2.811431 -9.830624 -7.019193 89.704405
3.400000 2.881534 -9.905215 -7.023682 91.941170
3.500000 3.078555 -10.105361 -7.026806 98.227532
3.600000 3.133393 -10.162190 -7.028797 99.977254
3.700000 3.263083 -10.293954 -7.030870 104.115292
3.800000 3.465431 -10.498682 -7.033251 110.571599
3.900000 3.270613 -10.303669 -7.033056 104.355529
4.000000 3.117102 -10.150357 -7.033255 99.457473
4.100000 3.194320 -10.228220 -7.033899 101.921263
4.200000 3.107128 -10.138372 -7.031245 99.139202
4.300000 3.157382 -10.185168 -7.027785 100.742685
4.400000 3.150230 -10.176178 -7.025948 100.514478
4.500000 3.132418 -10.155582 -7.023163 99.946160
4.600000 3.086436 -10.107059 -7.020623 98.478985
4.700000 3.000363 -10.017424 -7.017061 95.732652
4.800000 3.060901 -10.075825 -7.014924 97.664256
4.900000 2.893521 -9.906260 -7.012740 92.323639
5.000000 2.824359 -9.836133 -7.011774 90.116905
5.100000 2.737533 -9.746382 -7.008850 87.346529
5.200000 2.604875 -9.610684 -7.005809 83.113816
5.300000 2.648649 -9.651309 -7.002661 84.510508
5.400000 2.711022 -9.712870 -7.001847 86.500667
5.500000 2.673689 -9.674309 -7.000619 85.309475
5.600000 2.559523 -9.559566 -7.000043 81.666784
5.700000 2.677933 -9.677857 -6.999923 85.444892
5.800000 2.634741 -9.635587 -7.000847 84.066739
5.900000 2.432019 -9.433441 -7.001422 77.598494
6.000000 2.547213 -9.549318 -7.002105 81.273981
6.100000 2.535478 -9.538686 -7.003208 80.899567
6.200000 2.593423 -9.597691 -7.004268 82.748406
6.300000 2.642985 -9.647327 -7.004343 84.329779
6.400000 2.721382 -9.728617 -7.007236 86.831194
